epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
58,4198.72,0.66543,0.46968,0.92548,0.93468,0.85946,0.93019,0.74637,0.69096,0.46238,0.9805,0.000412749,0.000412749,0.000412749
59,4268.77,0.67738,0.47961,0.92203,0.93136,0.87248,0.92714,0.74414,0.69395,0.46466,0.98241,0.000390745,0.000390745,0.000390745
60,4337.31,0.668,0.47583,0.92864,0.93569,0.85948,0.92448,0.75258,0.68782,0.46061,0.98326,0.00036874,0.00036874,0.00036874
61,4406.62,0.66737,0.45119,0.91382,0.95024,0.84927,0.91901,0.7389,0.68846,0.46768,0.9842,0.000346736,0.000346736,0.000346736
62,4475.21,0.67067,0.46618,0.92664,0.92546,0.87177,0.9162,0.74964,0.68228,0.46914,0.98105,0.000324732,0.000324732,0.000324732
63,4545.28,0.64666,0.45996,0.90265,0.94268,0.86351,0.91548,0.74849,0.68666,0.46464,0.98161,0.000302727,0.000302727,0.000302727
64,4614.39,0.67051,0.47591,0.92183,0.93105,0.8715,0.92459,0.7565,0.67592,0.46348,0.98042,0.000280723,0.000280723,0.000280723
65,4684.44,0.66537,0.45825,0.92972,0.93359,0.85574,0.91787,0.74542,0.67994,0.4685,0.97354,0.000258718,0.000258718,0.000258718
66,4764.39,0.57773,0.37769,0.87088,0.93668,0.85672,0.92164,0.74697,0.68954,0.46385,0.98889,0.000236714,0.000236714,0.000236714
67,4834.68,0.56127,0.37413,0.8629,0.92056,0.8767,0.91798,0.74584,0.69538,0.46495,0.98606,0.00021471,0.00021471,0.00021471
68,4902.3,0.55973,0.3668,0.86827,0.91237,0.87352,0.91961,0.74767,0.68686,0.46144,0.98725,0.000192705,0.000192705,0.000192705
69,4969.87,0.55214,0.36417,0.86914,0.92153,0.86206,0.91766,0.74801,0.67475,0.45394,0.97799,0.000170701,0.000170701,0.000170701
70,5038.39,0.54811,0.35652,0.86077,0.92526,0.85946,0.92097,0.75406,0.6762,0.44708,0.97702,0.000148696,0.000148696,0.000148696
71,5109.16,0.53514,0.35268,0.85334,0.93657,0.85425,0.92156,0.74995,0.68606,0.45086,0.98388,0.000126692,0.000126692,0.000126692
72,5177.17,0.53412,0.3532,0.85825,0.94453,0.85187,0.92222,0.76034,0.67092,0.44924,0.97477,0.000104688,0.000104688,0.000104688
73,5245.56,0.54003,0.35439,0.85654,0.93512,0.8511,0.92387,0.75437,0.66961,0.44602,0.97585,8.26832e-05,8.26832e-05,8.26832e-05
74,5314.14,0.54183,0.3548,0.85713,0.93466,0.85891,0.92164,0.75639,0.66885,0.44754,0.97409,6.06788e-05,6.06788e-05,6.06788e-05
75,5382.41,0.52951,0.35073,0.84945,0.93198,0.85906,0.92139,0.7548,0.66829,0.44757,0.97348,3.86744e-05,3.86744e-05,3.86744e-05
